Fecha de registro;numero_radicado;nit_proveedor;nombre_proveedor;moneda;fecha_factura;numero_factura;pedido;valor_total $;estado_factura;categoria;tipo_factura;responsable
1/05/2024;NT0001;NIT0000000020;Iberdrola;COP;4/05/2024;FAC-1;PED-4020;35000000,00;Pendiente;Energía;Fisica;Responsable 1
7/07/2022;NT0001;NIT0000000021;Engie;COP;17/01/2022;FAC-1;PED-4021;22000000,00;Pendiente;Energía;Fisica;Responsable 1
10/08/2022;NT0001;NIT0000000023;TCS;COP;23/07/2023;FAC-1;PED-4023;120000000,00;Pendiente;Servicios;Fisica;Responsable 1
6/01/2023;NT0001;NIT0000000024;PepsiCo;COP;2/11/2022;FAC-1;PED-4024;21000000,00;Pendiente;Alimentación;Fisica;Responsable 1
27/10/2025;NT0001;NIT0000000025;PwC;COP;1/03/2024;FAC-1;PED-4025;28000000,00;Pendiente;Servicios;Fisica;Responsable 1
4/12/2024;NT0001;NIT0000000027;Duke Energy;COP;9/05/2024;FAC-1;PED-4027;21500000,00;Pendiente;Energía;Fisica;Responsable 1
23/06/2025;NT0001;NIT0000000028;McKinsey;COP;30/01/2022;FAC-1;PED-4028;150000000,00;Pendiente;Servicios;Fisica;Responsable 1
9/03/2022;NT0001;NIT0000000029;Danone;COP;3/07/2025;FAC-1;PED-4029;5800000,00;Pendiente;Alimentación;Fisica;Responsable 1
24/03/2022;NT0001;NIT0000000030;Facebook;COP;22/09/2023;FAC-1;PED-4030;5000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
10/07/2025;NT0001;NIT0000000031;Microsoft;COP;6/05/2025;FAC-1;PED-4031;54000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
6/01/2023;NT0001;NIT0000000032;Enel;COP;16/02/2022;FAC-1;PED-4032;20000000,00;Pendiente;Energía;Fisica;Responsable 1
30/11/2022;NT0001;NIT0000000033;Coca-Cola;COP;9/12/2025;FAC-1;PED-4033;18000000,00;Pendiente;Alimentación;Fisica;Responsable 1
30/04/2025;NT0001;NIT0000000035;Kellogg;COP;24/04/2023;FAC-1;PED-4035;6300000,00;Pendiente;Alimentación;Fisica;Responsable 1
4/02/2023;NT0001;NIT0000000036;Southern Company;COP;26/06/2022;FAC-1;PED-4036;19800000,00;Pendiente;Energía;Fisica;Responsable 1
4/07/2025;NT0001;NIT0000000037;Kraft Heinz;COP;14/01/2022;FAC-1;PED-4037;4500000,00;Pendiente;Alimentación;Fisica;Responsable 1
26/10/2022;NT0001;NIT0000000038;G4S;COP;23/04/2022;FAC-1;PED-4038;8500000,00;Pendiente;Servicios Públicos;Fisica;Responsable 1
8/09/2024;NT0001;NIT0000000040;RWE;COP;23/04/2022;FAC-1;PED-4040;19000000,00;Pendiente;Energía;Fisica;Responsable 1
20/03/2024;NT0001;NIT0000000041;Juan Valdez;COP;24/07/2023;FAC-1;PED-4041;8400000,00;Pendiente;Consultoría;Fisica;Responsable 1
18/10/2025;NT0001;NIT0000000042;Compass Group;COP;12/04/2023;FAC-1;PED-4042;10500000,00;Pendiente;Servicios Públicos;Fisica;Responsable 1
23/02/2022;NT0001;NIT0000000043;Serco;COP;25/04/2025;FAC-1;PED-4043;9000000,00;Pendiente;Servicios Públicos;Fisica;Responsable 1
16/11/2022;NT0001;NIT0000000045;NextEra Energy;COP;4/07/2022;FAC-1;PED-4045;23000000,00;Pendiente;Energía;Fisica;Responsable 1
1/04/2024;NT0001;NIT0000000046;Exelon;COP;19/02/2022;FAC-1;PED-4046;18700000,00;Pendiente;Energía;Fisica;Responsable 1
20/05/2023;NT0001;NIT0000000047;EDF;COP;13/01/2024;FAC-1;PED-4047;19200000,00;Pendiente;Energía;Fisica;Responsable 1
21/05/2022;NT0001;NIT0000000048;Oracle;COP;4/04/2022;FAC-1;PED-4048;120000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
11/03/2022;NT0001;NIT0000000049;Starbucks;COP;7/12/2022;FAC-1;PED-4049;11000000,00;Pendiente;Consultoría;Fisica;Responsable 1
15/02/2022;NT0001;NIT0000000050;Accenture;COP;18/04/2023;FAC-1;PED-4050;95000000,00;Pendiente;Servicios;Fisica;Responsable 1
7/01/2022;NT0001;NIT0000000051;Mondelez;COP;16/02/2022;FAC-1;PED-4051;6900000,00;Pendiente;Alimentación;Fisica;Responsable 1
27/04/2022;NT0001;NIT0000000052;KPMG;COP;26/02/2025;FAC-1;PED-4052;30000000,00;Pendiente;Servicios;Fisica;Responsable 1
23/07/2024;NT0001;NIT0000000053;Cisco;COP;31/01/2024;FAC-1;PED-4053;35000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
20/04/2023;NT0001;NIT0000000056;Burger King;COP;24/09/2024;FAC-1;PED-4056;90000000,00;Pendiente;Consultoría;Fisica;Responsable 1
11/03/2022;NT0001;NIT0000000057;KFC;COP;26/12/2022;FAC-1;PED-4057;76000000,00;Pendiente;Consultoría;Fisica;Responsable 1
18/09/2025;NT0001;NIT0000000058;Capgemini;COP;27/06/2023;FAC-1;PED-4058;80000000,00;Pendiente;Servicios;Fisica;Responsable 1
30/01/2023;NT0001;NIT0000000059;Amazon;COP;30/11/2025;FAC-1;PED-4059;22000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
13/02/2022;NT0001;NIT0000000060;Tostao;COP;18/07/2022;FAC-1;PED-4060;7600000,00;Pendiente;Consultoría;Fisica;Responsable 1
15/11/2022;NT0001;NIT0000000061;McDonald's;COP;29/10/2022;FAC-1;PED-4061;120000000,00;Pendiente;Consultoría;Fisica;Responsable 1
16/04/2024;NT0001;NIT0000000062;Bain;COP;30/10/2022;FAC-1;PED-4062;160000000,00;Pendiente;Servicios;Fisica;Responsable 1
9/05/2022;NT0001;NIT0000000063;Procter & Gamble;COP;19/11/2025;FAC-1;PED-4063;7200000,00;Pendiente;Alimentación;Fisica;Responsable 1
12/03/2022;NT0001;NIT0000000064;Securitas;COP;24/03/2023;FAC-1;PED-4064;8700000,00;Pendiente;Servicios Públicos;Fisica;Responsable 1
29/01/2023;NT0001;NIT0000000065;Crepes & Waffles;COP;9/06/2025;FAC-1;PED-4065;15000000,00;Pendiente;Consultoría;Fisica;Responsable 1
14/06/2024;NT0001;NIT0000000066;SAP;COP;8/04/2025;FAC-1;PED-4066;120000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
30/08/2023;NT0001;NIT0000000067;Mitie;COP;8/03/2025;FAC-1;PED-4067;7500000,00;Pendiente;Servicios Públicos;Fisica;Responsable 1
20/02/2024;NT0001;NIT0000000068;EY;COP;6/11/2025;FAC-1;PED-4068;35000000,00;Pendiente;Servicios;Fisica;Responsable 1
14/04/2025;NT0001;NIT0000000069;BCG;COP;15/11/2024;FAC-1;PED-4069;100000000,00;Pendiente;Servicios;Fisica;Responsable 1
9/06/2025;NT0001;NIT0000000070;Google;COP;27/11/2022;FAC-1;PED-4070;15000000,00;Pendiente;Tecnologia;Fisica;Responsable 1
22/06/2024;NT0002;NIT0000000001;ABM;COP;31/08/2023;FAC-2;PED-4071;6200000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
16/11/2024;NT0002;NIT0000000002;Subway;COP;25/11/2022;FAC-2;PED-4072;18000000,00;Pagada;Consultoría;Electronica;Responsable 2
7/01/2024;NT0002;NIT0000000003;Sodexo;COP;20/01/2022;FAC-2;PED-4073;55000000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
17/07/2022;NT0002;NIT0000000005;ISS;COP;29/08/2024;FAC-2;PED-4075;9800000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
13/02/2025;NT0002;NIT0000000006;Rentokil;COP;4/11/2023;FAC-2;PED-4076;1200000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
11/09/2022;NT0002;NIT0000000008;IBM;COP;13/12/2022;FAC-2;PED-4078;75000000,00;Pagada;Tecnologia;Electronica;Responsable 2
10/07/2025;NT0002;NIT0000000009;Oma;COP;26/10/2024;FAC-2;PED-4079;6400000,00;Pagada;Consultoría;Electronica;Responsable 2
23/12/2022;NT0002;NIT0000000010;Deloitte;COP;16/10/2024;FAC-2;PED-4080;40000000,00;Pagada;Servicios;Electronica;Responsable 2
15/02/2023;NT0002;NIT0000000011;Apple;COP;16/05/2025;FAC-2;PED-4081;45000000,00;Pagada;Tecnologia;Electronica;Responsable 2
21/03/2022;NT0002;NIT0000000012;Intel;COP;2/09/2023;FAC-2;PED-4082;32000000,00;Pagada;Tecnologia;Electronica;Responsable 2
15/08/2025;NT0002;NIT0000000013;General Mills;COP;3/12/2025;FAC-2;PED-4083;6500000,00;Pagada;Alimentación;Electronica;Responsable 2
3/12/2023;NT0002;NIT0000000014;Unilever;COP;21/08/2025;FAC-2;PED-4084;8200000,00;Pagada;Alimentación;Electronica;Responsable 2
27/05/2022;NT0002;NIT0000000015;Dunkin Donuts;COP;27/06/2023;FAC-2;PED-4085;70000000,00;Pagada;Consultoría;Electronica;Responsable 2
9/03/2023;NT0002;NIT0000000017;Aramark;COP;31/01/2024;FAC-2;PED-4087;12000000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
13/08/2023;NT0002;NIT0000000018;E.ON;COP;10/07/2024;FAC-2;PED-4088;18000000,00;Pagada;Energía;Electronica;Responsable 2
10/01/2022;NT0002;NIT0000000020;Iberdrola;COP;21/06/2024;FAC-2;PED-4090;17500000,00;Pagada;Energía;Electronica;Responsable 2
26/01/2024;NT0002;NIT0000000021;Engie;COP;31/10/2022;FAC-2;PED-4091;44000000,00;Pagada;Energía;Electronica;Responsable 2
10/02/2024;NT0002;NIT0000000023;TCS;COP;10/02/2025;FAC-2;PED-4093;120000000,00;Pagada;Servicios;Electronica;Responsable 2
30/11/2025;NT0002;NIT0000000024;PepsiCo;COP;20/01/2025;FAC-2;PED-4094;7000000,00;Pagada;Alimentación;Electronica;Responsable 2
27/09/2024;NT0002;NIT0000000025;PwC;COP;27/04/2025;FAC-2;PED-4095;28000000,00;Pagada;Servicios;Electronica;Responsable 2
9/03/2025;NT0002;NIT0000000027;Duke Energy;COP;15/11/2022;FAC-2;PED-4097;43000000,00;Pagada;Energía;Electronica;Responsable 2
8/11/2025;NT0002;NIT0000000028;McKinsey;COP;19/10/2025;FAC-2;PED-4098;150000000,00;Pagada;Servicios;Electronica;Responsable 2
23/03/2023;NT0002;NIT0000000029;Danone;COP;6/11/2024;FAC-2;PED-4099;5800000,00;Pagada;Alimentación;Electronica;Responsable 2
4/04/2024;NT0002;NIT0000000030;Facebook;COP;13/02/2022;FAC-2;PED-4100;5000000,00;Pagada;Tecnologia;Electronica;Responsable 2
24/01/2023;NT0002;NIT0000000031;Microsoft;COP;17/07/2025;FAC-2;PED-4101;54000000,00;Pagada;Tecnologia;Electronica;Responsable 2
19/10/2024;NT0002;NIT0000000032;Enel;COP;5/03/2023;FAC-2;PED-4102;40000000,00;Pagada;Energía;Electronica;Responsable 2
3/05/2025;NT0002;NIT0000000033;Coca-Cola;COP;5/12/2022;FAC-2;PED-4103;9000000,00;Pagada;Alimentación;Electronica;Responsable 2
26/02/2024;NT0002;NIT0000000035;Kellogg;COP;10/06/2024;FAC-2;PED-4105;31500000,00;Pagada;Alimentación;Electronica;Responsable 2
12/12/2023;NT0002;NIT0000000036;Southern Company;COP;8/08/2025;FAC-2;PED-4106;39600000,00;Pagada;Energía;Electronica;Responsable 2
28/03/2024;NT0002;NIT0000000037;Kraft Heinz;COP;10/12/2025;FAC-2;PED-4107;22500000,00;Pagada;Alimentación;Electronica;Responsable 2
10/12/2024;NT0002;NIT0000000038;G4S;COP;14/09/2022;FAC-2;PED-4108;8500000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
26/08/2024;NT0002;NIT0000000040;RWE;COP;2/02/2022;FAC-2;PED-4110;38000000,00;Pagada;Energía;Electronica;Responsable 2
17/06/2023;NT0002;NIT0000000041;Juan Valdez;COP;3/07/2023;FAC-2;PED-4111;8400000,00;Pagada;Consultoría;Electronica;Responsable 2
1/09/2024;NT0002;NIT0000000042;Compass Group;COP;21/07/2024;FAC-2;PED-4112;10500000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
29/08/2024;NT0002;NIT0000000043;Serco;COP;29/10/2022;FAC-2;PED-4113;9000000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
20/12/2023;NT0002;NIT0000000045;NextEra Energy;COP;28/12/2024;FAC-2;PED-4115;46000000,00;Pagada;Energía;Electronica;Responsable 2
26/03/2024;NT0002;NIT0000000046;Exelon;COP;4/07/2025;FAC-2;PED-4116;37400000,00;Pagada;Energía;Electronica;Responsable 2
7/07/2025;NT0002;NIT0000000047;EDF;COP;5/02/2023;FAC-2;PED-4117;38400000,00;Pagada;Energía;Electronica;Responsable 2
3/11/2022;NT0002;NIT0000000048;Oracle;COP;17/04/2025;FAC-2;PED-4118;120000000,00;Pagada;Tecnologia;Electronica;Responsable 2
19/12/2025;NT0002;NIT0000000049;Starbucks;COP;28/12/2024;FAC-2;PED-4119;5500000,00;Pagada;Consultoría;Electronica;Responsable 2
13/02/2024;NT0002;NIT0000000050;Accenture;COP;17/02/2022;FAC-2;PED-4120;95000000,00;Pagada;Servicios;Electronica;Responsable 2
4/07/2024;NT0002;NIT0000000051;Mondelez;COP;15/04/2022;FAC-2;PED-4121;41400000,00;Pagada;Alimentación;Electronica;Responsable 2
1/08/2024;NT0002;NIT0000000052;KPMG;COP;11/06/2025;FAC-2;PED-4122;30000000,00;Pagada;Servicios;Electronica;Responsable 2
18/02/2024;NT0002;NIT0000000053;Cisco;COP;9/01/2025;FAC-2;PED-4123;35000000,00;Pagada;Tecnologia;Electronica;Responsable 2
22/11/2025;NT0002;NIT0000000056;Burger King;COP;12/09/2022;FAC-2;PED-4126;45000000,00;Pagada;Consultoría;Electronica;Responsable 2
22/12/2024;NT0002;NIT0000000057;KFC;COP;31/05/2023;FAC-2;PED-4127;38000000,00;Pagada;Consultoría;Electronica;Responsable 2
8/12/2023;NT0002;NIT0000000058;Capgemini;COP;11/03/2024;FAC-2;PED-4128;80000000,00;Pagada;Servicios;Electronica;Responsable 2
13/04/2025;NT0002;NIT0000000059;Amazon;COP;31/07/2025;FAC-2;PED-4129;22000000,00;Pagada;Tecnologia;Electronica;Responsable 2
5/11/2022;NT0002;NIT0000000060;Tostao;COP;5/02/2024;FAC-2;PED-4130;3800000,00;Pagada;Consultoría;Electronica;Responsable 2
7/08/2023;NT0002;NIT0000000061;McDonald's;COP;26/11/2023;FAC-2;PED-4131;60000000,00;Pagada;Consultoría;Electronica;Responsable 2
29/12/2023;NT0002;NIT0000000062;Bain;COP;24/01/2024;FAC-2;PED-4132;180000000,00;Pagada;Servicios;Electronica;Responsable 2
26/05/2023;NT0002;NIT0000000063;Procter & Gamble;COP;18/02/2022;FAC-2;PED-4133;28800000,00;Pagada;Alimentación;Electronica;Responsable 2
3/10/2022;NT0002;NIT0000000064;Securitas;COP;2/12/2022;FAC-2;PED-4134;8700000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
6/10/2025;NT0002;NIT0000000065;Crepes & Waffles;COP;19/05/2024;FAC-2;PED-4135;7500000,00;Pagada;Consultoría;Electronica;Responsable 2
9/01/2024;NT0002;NIT0000000066;SAP;COP;21/06/2023;FAC-2;PED-4136;120000000,00;Pagada;Tecnologia;Electronica;Responsable 2
12/03/2024;NT0002;NIT0000000067;Mitie;COP;14/11/2024;FAC-2;PED-4137;7500000,00;Pagada;Servicios Públicos;Electronica;Responsable 2
23/01/2025;NT0002;NIT0000000068;EY;COP;3/09/2024;FAC-2;PED-4138;35000000,00;Pagada;Servicios;Electronica;Responsable 2
2/12/2025;NT0002;NIT0000000069;BCG;COP;17/11/2022;FAC-2;PED-4139;100000000,00;Pagada;Servicios;Electronica;Responsable 2
18/06/2025;NT0002;NIT0000000070;Google;COP;4/02/2024;FAC-2;PED-4140;15000000,00;Pagada;Tecnologia;Electronica;Responsable 2
5/04/2025;NT0003;NIT0000000001;ABM;COP;8/02/2023;FAC-3;PED-4141;6200000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
4/01/2024;NT0003;NIT0000000002;Subway;COP;14/01/2024;FAC-3;PED-4142;9000000,00;Pendiente;Consultoría;Fisica;Responsable 3
4/11/2023;NT0003;NIT0000000003;Sodexo;COP;25/08/2023;FAC-3;PED-4143;44000000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
20/02/2023;NT0003;NIT0000000005;ISS;COP;8/06/2024;FAC-3;PED-4145;9800000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
22/08/2025;NT0003;NIT0000000006;Rentokil;COP;15/04/2024;FAC-3;PED-4146;1200000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
12/04/2025;NT0003;NIT0000000008;IBM;COP;2/01/2024;FAC-3;PED-4148;75000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
11/11/2024;NT0003;NIT0000000009;Oma;COP;11/03/2025;FAC-3;PED-4149;3200000,00;Pendiente;Consultoría;Fisica;Responsable 3
30/11/2023;NT0003;NIT0000000010;Deloitte;COP;14/12/2022;FAC-3;PED-4150;40000000,00;Pendiente;Servicios;Fisica;Responsable 3
30/05/2024;NT0003;NIT0000000011;Apple;COP;28/08/2022;FAC-3;PED-4151;45000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
23/07/2024;NT0003;NIT0000000012;Intel;COP;20/05/2023;FAC-3;PED-4152;32000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
8/08/2025;NT0003;NIT0000000013;General Mills;COP;17/01/2024;FAC-3;PED-4153;19500000,00;Pendiente;Alimentación;Fisica;Responsable 3
19/10/2022;NT0003;NIT0000000014;Unilever;COP;31/10/2025;FAC-3;PED-4154;24600000,00;Pendiente;Alimentación;Fisica;Responsable 3
25/02/2023;NT0003;NIT0000000015;Dunkin Donuts;COP;23/09/2024;FAC-3;PED-4155;35000000,00;Pendiente;Consultoría;Fisica;Responsable 3
29/01/2024;NT0003;NIT0000000017;Aramark;COP;10/02/2023;FAC-3;PED-4157;12000000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
6/02/2022;NT0003;NIT0000000018;E.ON;COP;26/05/2024;FAC-3;PED-4158;36000000,00;Pendiente;Energía;Fisica;Responsable 3
30/07/2024;NT0003;NIT0000000020;Iberdrola;COP;6/04/2023;FAC-3;PED-4160;35000000,00;Pendiente;Energía;Fisica;Responsable 3
3/03/2022;NT0003;NIT0000000021;Engie;COP;3/06/2024;FAC-3;PED-4161;22000000,00;Pendiente;Energía;Fisica;Responsable 3
9/11/2024;NT0003;NIT0000000023;TCS;COP;21/04/2023;FAC-3;PED-4163;120000000,00;Pendiente;Servicios;Fisica;Responsable 3
6/04/2024;NT0003;NIT0000000024;PepsiCo;COP;1/06/2025;FAC-3;PED-4164;14000000,00;Pendiente;Alimentación;Fisica;Responsable 3
28/04/2025;NT0003;NIT0000000025;PwC;COP;7/05/2024;FAC-3;PED-4165;28000000,00;Pendiente;Servicios;Fisica;Responsable 3
28/01/2025;NT0003;NIT0000000027;Duke Energy;COP;4/10/2024;FAC-3;PED-4167;21500000,00;Pendiente;Energía;Fisica;Responsable 3
14/04/2024;NT0003;NIT0000000028;McKinsey;COP;16/06/2023;FAC-3;PED-4168;150000000,00;Pendiente;Servicios;Fisica;Responsable 3
9/04/2023;NT0003;NIT0000000029;Danone;COP;14/06/2023;FAC-3;PED-4169;11600000,00;Pendiente;Alimentación;Fisica;Responsable 3
3/03/2025;NT0003;NIT0000000030;Facebook;COP;25/12/2024;FAC-3;PED-4170;5000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
10/03/2023;NT0003;NIT0000000031;Microsoft;COP;18/07/2024;FAC-3;PED-4171;54000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
7/03/2025;NT0003;NIT0000000032;Enel;COP;4/02/2023;FAC-3;PED-4172;20000000,00;Pendiente;Energía;Fisica;Responsable 3
1/05/2023;NT0003;NIT0000000033;Coca-Cola;COP;2/06/2024;FAC-3;PED-4173;18000000,00;Pendiente;Alimentación;Fisica;Responsable 3
18/05/2024;NT0003;NIT0000000035;Kellogg;COP;23/07/2024;FAC-3;PED-4175;12600000,00;Pendiente;Alimentación;Fisica;Responsable 3
23/03/2025;NT0003;NIT0000000036;Southern Company;COP;10/04/2023;FAC-3;PED-4176;19800000,00;Pendiente;Energía;Fisica;Responsable 3
15/04/2024;NT0003;NIT0000000037;Kraft Heinz;COP;12/06/2024;FAC-3;PED-4177;40500000,00;Pendiente;Alimentación;Fisica;Responsable 3
16/09/2023;NT0003;NIT0000000038;G4S;COP;15/12/2024;FAC-3;PED-4178;8500000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
19/11/2023;NT0003;NIT0000000040;RWE;COP;2/09/2025;FAC-3;PED-4180;19000000,00;Pendiente;Energía;Fisica;Responsable 3
5/12/2024;NT0003;NIT0000000041;Juan Valdez;COP;25/10/2022;FAC-3;PED-4181;4200000,00;Pendiente;Consultoría;Fisica;Responsable 3
18/01/2022;NT0003;NIT0000000042;Compass Group;COP;24/06/2023;FAC-3;PED-4182;10500000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
21/07/2023;NT0003;NIT0000000043;Serco;COP;23/03/2025;FAC-3;PED-4183;9000000,00;Pendiente;Servicios Públicos;Fisica;Responsable 3
17/12/2024;NT0003;NIT0000000045;NextEra Energy;COP;14/03/2023;FAC-3;PED-4185;23000000,00;Pendiente;Energía;Fisica;Responsable 3
6/11/2025;NT0003;NIT0000000046;Exelon;COP;21/02/2022;FAC-3;PED-4186;18700000,00;Pendiente;Energía;Fisica;Responsable 3
8/11/2025;NT0003;NIT0000000047;EDF;COP;5/12/2025;FAC-3;PED-4187;19200000,00;Pendiente;Energía;Fisica;Responsable 3
26/11/2024;NT0003;NIT0000000049;Starbucks;COP;24/01/2024;FAC-3;PED-4189;5500000,00;Pendiente;Consultoría;Fisica;Responsable 3
10/02/2024;NT0003;NIT0000000050;Accenture;COP;20/09/2023;FAC-3;PED-4190;95000000,00;Pendiente;Servicios;Fisica;Responsable 3
13/12/2024;NT0003;NIT0000000051;Mondelez;COP;13/02/2022;FAC-3;PED-4191;13800000,00;Pendiente;Alimentación;Fisica;Responsable 3
18/12/2024;NT0003;NIT0000000052;KPMG;COP;21/09/2022;FAC-3;PED-4192;30000000,00;Pendiente;Servicios;Fisica;Responsable 3
20/10/2024;NT0003;NIT0000000053;Cisco;COP;1/11/2022;FAC-3;PED-4193;35000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
8/03/2022;NT0003;NIT0000000056;Burger King;COP;23/04/2022;FAC-3;PED-4196;90000000,00;Pendiente;Consultoría;Fisica;Responsable 3
27/12/2023;NT0003;NIT0000000057;KFC;COP;29/09/2024;FAC-3;PED-4197;38000000,00;Pendiente;Consultoría;Fisica;Responsable 3
5/03/2024;NT0003;NIT0000000058;Capgemini;COP;20/06/2024;FAC-3;PED-4198;80000000,00;Pendiente;Servicios;Fisica;Responsable 3
2/07/2022;NT0003;NIT0000000059;Amazon;COP;18/01/2025;FAC-3;PED-4199;22000000,00;Pendiente;Tecnologia;Fisica;Responsable 3
