Numero pedido;nit_proveedor;nombre_proveedor;Categoria;Producto
PED-4047;NIT0000000047;EDF;Energ韆;
PED-4048;NIT0000000048;Oracle;Tecnologia;
PED-4049;NIT0000000049;Starbucks;Consultor韆;
PED-4050;NIT0000000050;Accenture;Servicios;
PED-4051;NIT0000000051;Mondelez;Alimentaci髇;
PED-4052;NIT0000000052;KPMG;Servicios;
PED-4053;NIT0000000053;Cisco;Tecnologia;
PED-4054;NIT0000000054;Nestle;Alimentaci髇;
PED-4055;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4056;NIT0000000056;Burger King;Consultor韆;
PED-4057;NIT0000000057;KFC;Consultor韆;
PED-4058;NIT0000000058;Capgemini;Servicios;
PED-4059;NIT0000000059;Amazon;Tecnologia;
PED-4060;NIT0000000060;Tostao;Consultor韆;
PED-4061;NIT0000000061;McDonald's;Consultor韆;
PED-4062;NIT0000000062;Bain;Servicios;
PED-4063;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4064;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4065;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4066;NIT0000000066;SAP;Tecnologia;
PED-4067;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4068;NIT0000000068;EY;Servicios;
PED-4069;NIT0000000069;BCG;Servicios;
PED-4070;NIT0000000070;Google;Tecnologia;
PED-4071;NIT0000000001;ABM;Servicios P鷅licos;
PED-4072;NIT0000000002;Subway;Consultor韆;
PED-4073;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4074;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4075;NIT0000000005;ISS;Servicios P鷅licos;
PED-4076;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4077;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4078;NIT0000000008;IBM;Tecnologia;
PED-4079;NIT0000000009;Oma;Consultor韆;
PED-4080;NIT0000000010;Deloitte;Servicios;
PED-4081;NIT0000000011;Apple;Tecnologia;
PED-4082;NIT0000000012;Intel;Tecnologia;
PED-4083;NIT0000000013;General Mills;Alimentaci髇;
PED-4084;NIT0000000014;Unilever;Alimentaci髇;
PED-4085;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4086;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4087;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4088;NIT0000000018;E.ON;Energ韆;
PED-4089;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4090;NIT0000000020;Iberdrola;Energ韆;
PED-4091;NIT0000000021;Engie;Energ韆;
PED-4092;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4093;NIT0000000023;TCS;Servicios;
PED-4094;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4095;NIT0000000025;PwC;Servicios;
PED-4096;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4097;NIT0000000027;Duke Energy;Energ韆;
PED-4098;NIT0000000028;McKinsey;Servicios;
PED-4099;NIT0000000029;Danone;Alimentaci髇;
PED-4100;NIT0000000030;Facebook;Tecnologia;
PED-4101;NIT0000000031;Microsoft;Tecnologia;
PED-4102;NIT0000000032;Enel;Energ韆;
PED-4103;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4104;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4105;NIT0000000035;Kellogg;Alimentaci髇;
PED-4106;NIT0000000036;Southern Company;Energ韆;
PED-4107;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4108;NIT0000000038;G4S;Servicios P鷅licos;
PED-4109;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4110;NIT0000000040;RWE;Energ韆;
PED-4111;NIT0000000041;Juan Valdez;Consultor韆;
PED-4112;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4113;NIT0000000043;Serco;Servicios P鷅licos;
PED-4114;NIT0000000044;Soluciones IT;Consultor韆;
PED-4115;NIT0000000045;NextEra Energy;Energ韆;
PED-4116;NIT0000000046;Exelon;Energ韆;
PED-4117;NIT0000000047;EDF;Energ韆;
PED-4118;NIT0000000048;Oracle;Tecnologia;
PED-4119;NIT0000000049;Starbucks;Consultor韆;
PED-4120;NIT0000000050;Accenture;Servicios;
PED-4121;NIT0000000051;Mondelez;Alimentaci髇;
PED-4122;NIT0000000052;KPMG;Servicios;
PED-4123;NIT0000000053;Cisco;Tecnologia;
PED-4124;NIT0000000054;Nestle;Alimentaci髇;
PED-4125;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4126;NIT0000000056;Burger King;Consultor韆;
PED-4127;NIT0000000057;KFC;Consultor韆;
PED-4128;NIT0000000058;Capgemini;Servicios;
PED-4129;NIT0000000059;Amazon;Tecnologia;
PED-4130;NIT0000000060;Tostao;Consultor韆;
PED-4131;NIT0000000061;McDonald's;Consultor韆;
PED-4132;NIT0000000062;Bain;Servicios;
PED-4133;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4134;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4135;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4136;NIT0000000066;SAP;Tecnologia;
PED-4137;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4138;NIT0000000068;EY;Servicios;
PED-4139;NIT0000000069;BCG;Servicios;
PED-4140;NIT0000000070;Google;Tecnologia;
PED-4141;NIT0000000001;ABM;Servicios P鷅licos;
PED-4142;NIT0000000002;Subway;Consultor韆;
PED-4143;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4144;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4145;NIT0000000005;ISS;Servicios P鷅licos;
PED-4146;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4147;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4148;NIT0000000008;IBM;Tecnologia;
PED-4149;NIT0000000009;Oma;Consultor韆;
PED-4150;NIT0000000010;Deloitte;Servicios;
PED-4151;NIT0000000011;Apple;Tecnologia;
PED-4152;NIT0000000012;Intel;Tecnologia;
PED-4153;NIT0000000013;General Mills;Alimentaci髇;
PED-4154;NIT0000000014;Unilever;Alimentaci髇;
PED-4155;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4156;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4157;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4158;NIT0000000018;E.ON;Energ韆;
PED-4159;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4160;NIT0000000020;Iberdrola;Energ韆;
PED-4161;NIT0000000021;Engie;Energ韆;
PED-4162;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4163;NIT0000000023;TCS;Servicios;
PED-4164;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4165;NIT0000000025;PwC;Servicios;
PED-4166;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4167;NIT0000000027;Duke Energy;Energ韆;
PED-4168;NIT0000000028;McKinsey;Servicios;
PED-4169;NIT0000000029;Danone;Alimentaci髇;
PED-4170;NIT0000000030;Facebook;Tecnologia;
PED-4171;NIT0000000031;Microsoft;Tecnologia;
PED-4172;NIT0000000032;Enel;Energ韆;
PED-4173;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4174;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4175;NIT0000000035;Kellogg;Alimentaci髇;
PED-4176;NIT0000000036;Southern Company;Energ韆;
PED-4177;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4178;NIT0000000038;G4S;Servicios P鷅licos;
PED-4179;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4180;NIT0000000040;RWE;Energ韆;
PED-4181;NIT0000000041;Juan Valdez;Consultor韆;
PED-4182;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4183;NIT0000000043;Serco;Servicios P鷅licos;
PED-4184;NIT0000000044;Soluciones IT;Consultor韆;
PED-4185;NIT0000000045;NextEra Energy;Energ韆;
PED-4186;NIT0000000046;Exelon;Energ韆;
PED-4187;NIT0000000047;EDF;Energ韆;
PED-4189;NIT0000000049;Starbucks;Consultor韆;
PED-4190;NIT0000000050;Accenture;Servicios;
PED-4191;NIT0000000051;Mondelez;Alimentaci髇;
PED-4192;NIT0000000052;KPMG;Servicios;
PED-4193;NIT0000000053;Cisco;Tecnologia;
PED-4194;NIT0000000054;Nestle;Alimentaci髇;
PED-4195;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4196;NIT0000000056;Burger King;Consultor韆;
PED-4197;NIT0000000057;KFC;Consultor韆;
PED-4198;NIT0000000058;Capgemini;Servicios;
PED-4199;NIT0000000059;Amazon;Tecnologia;
PED-4200;NIT0000000060;Tostao;Consultor韆;
PED-4201;NIT0000000061;McDonald's;Consultor韆;
PED-4202;NIT0000000062;Bain;Servicios;
PED-4203;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4204;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4205;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4206;NIT0000000066;SAP;Tecnologia;
PED-4207;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4208;NIT0000000068;EY;Servicios;
PED-4209;NIT0000000069;BCG;Servicios;
PED-4210;NIT0000000070;Google;Tecnologia;
PED-4211;NIT0000000001;ABM;Servicios P鷅licos;
PED-4212;NIT0000000002;Subway;Consultor韆;
PED-4213;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4214;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4215;NIT0000000005;ISS;Servicios P鷅licos;
PED-4216;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4217;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4218;NIT0000000008;IBM;Tecnologia;
PED-4219;NIT0000000009;Oma;Consultor韆;
PED-4220;NIT0000000010;Deloitte;Servicios;
PED-4221;NIT0000000011;Apple;Tecnologia;
PED-4222;NIT0000000012;Intel;Tecnologia;
PED-4223;NIT0000000013;General Mills;Alimentaci髇;
PED-4224;NIT0000000014;Unilever;Alimentaci髇;
PED-4225;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4226;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4227;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4228;NIT0000000018;E.ON;Energ韆;
PED-4229;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4230;NIT0000000020;Iberdrola;Energ韆;
PED-4231;NIT0000000021;Engie;Energ韆;
PED-4232;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4233;NIT0000000023;TCS;Servicios;
PED-4234;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4235;NIT0000000025;PwC;Servicios;
PED-4236;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4237;NIT0000000027;Duke Energy;Energ韆;
PED-4238;NIT0000000028;McKinsey;Servicios;
PED-4239;NIT0000000029;Danone;Alimentaci髇;
PED-4240;NIT0000000030;Facebook;Tecnologia;
PED-4241;NIT0000000031;Microsoft;Tecnologia;
PED-4242;NIT0000000032;Enel;Energ韆;
PED-4243;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4244;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4245;NIT0000000035;Kellogg;Alimentaci髇;
PED-4246;NIT0000000036;Southern Company;Energ韆;
PED-4247;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4248;NIT0000000038;G4S;Servicios P鷅licos;
PED-4249;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4250;NIT0000000040;RWE;Energ韆;
PED-4251;NIT0000000041;Juan Valdez;Consultor韆;
PED-4252;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4253;NIT0000000043;Serco;Servicios P鷅licos;
PED-4254;NIT0000000044;Soluciones IT;Consultor韆;
PED-4255;NIT0000000045;NextEra Energy;Energ韆;
PED-4256;NIT0000000046;Exelon;Energ韆;
PED-4257;NIT0000000047;EDF;Energ韆;
PED-4258;NIT0000000048;Oracle;Tecnologia;
PED-4259;NIT0000000049;Starbucks;Consultor韆;
PED-4260;NIT0000000050;Accenture;Servicios;
PED-4261;NIT0000000051;Mondelez;Alimentaci髇;
PED-4262;NIT0000000052;KPMG;Servicios;
PED-4263;NIT0000000053;Cisco;Tecnologia;
PED-4264;NIT0000000054;Nestle;Alimentaci髇;
PED-4265;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4266;NIT0000000056;Burger King;Consultor韆;
PED-4267;NIT0000000057;KFC;Consultor韆;
PED-4268;NIT0000000058;Capgemini;Servicios;
PED-4269;NIT0000000059;Amazon;Tecnologia;
PED-4270;NIT0000000060;Tostao;Consultor韆;
PED-4271;NIT0000000061;McDonald's;Consultor韆;
PED-4272;NIT0000000062;Bain;Servicios;
PED-4273;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4274;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4275;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4276;NIT0000000066;SAP;Tecnologia;
PED-4277;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4278;NIT0000000068;EY;Servicios;
PED-4279;NIT0000000069;BCG;Servicios;
PED-4280;NIT0000000070;Google;Tecnologia;
PED-4281;NIT0000000001;ABM;Servicios P鷅licos;
PED-4282;NIT0000000002;Subway;Consultor韆;
PED-4283;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4284;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4285;NIT0000000005;ISS;Servicios P鷅licos;
PED-4286;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4287;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4288;NIT0000000008;IBM;Tecnologia;
PED-4289;NIT0000000009;Oma;Consultor韆;
PED-4290;NIT0000000010;Deloitte;Servicios;
PED-4291;NIT0000000011;Apple;Tecnologia;
PED-4292;NIT0000000012;Intel;Tecnologia;
PED-4293;NIT0000000013;General Mills;Alimentaci髇;
PED-4294;NIT0000000014;Unilever;Alimentaci髇;
PED-4295;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4296;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4297;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4298;NIT0000000018;E.ON;Energ韆;
PED-4299;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4300;NIT0000000020;Iberdrola;Energ韆;
PED-4301;NIT0000000021;Engie;Energ韆;
PED-4302;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4303;NIT0000000023;TCS;Servicios;
PED-4304;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4305;NIT0000000025;PwC;Servicios;
PED-4306;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4307;NIT0000000027;Duke Energy;Energ韆;
PED-4308;NIT0000000028;McKinsey;Servicios;
PED-4309;NIT0000000029;Danone;Alimentaci髇;
PED-4310;NIT0000000030;Facebook;Tecnologia;
PED-4311;NIT0000000031;Microsoft;Tecnologia;
PED-4312;NIT0000000032;Enel;Energ韆;
PED-4313;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4314;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4315;NIT0000000035;Kellogg;Alimentaci髇;
PED-4316;NIT0000000036;Southern Company;Energ韆;
PED-4317;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4318;NIT0000000038;G4S;Servicios P鷅licos;
PED-4319;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4320;NIT0000000040;RWE;Energ韆;
PED-4321;NIT0000000041;Juan Valdez;Consultor韆;
PED-4322;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4323;NIT0000000043;Serco;Servicios P鷅licos;
PED-4324;NIT0000000044;Soluciones IT;Consultor韆;
PED-4325;NIT0000000045;NextEra Energy;Energ韆;
PED-4326;NIT0000000046;Exelon;Energ韆;
PED-4327;NIT0000000047;EDF;Energ韆;
PED-4328;NIT0000000048;Oracle;Tecnologia;
PED-4329;NIT0000000049;Starbucks;Consultor韆;
PED-4330;NIT0000000050;Accenture;Servicios;
PED-4331;NIT0000000051;Mondelez;Alimentaci髇;
PED-4332;NIT0000000052;KPMG;Servicios;
PED-4333;NIT0000000053;Cisco;Tecnologia;
PED-4334;NIT0000000054;Nestle;Alimentaci髇;
PED-4335;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4336;NIT0000000056;Burger King;Consultor韆;
PED-4337;NIT0000000057;KFC;Consultor韆;
PED-4338;NIT0000000058;Capgemini;Servicios;
PED-4339;NIT0000000059;Amazon;Tecnologia;
PED-4340;NIT0000000060;Tostao;Consultor韆;
PED-4341;NIT0000000061;McDonald's;Consultor韆;
PED-4342;NIT0000000062;Bain;Servicios;
PED-4343;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4344;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4345;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4346;NIT0000000066;SAP;Tecnologia;
PED-4347;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4348;NIT0000000068;EY;Servicios;
PED-4349;NIT0000000069;BCG;Servicios;
PED-4350;NIT0000000070;Google;Tecnologia;
PED-4351;NIT0000000001;ABM;Servicios P鷅licos;
PED-4352;NIT0000000002;Subway;Consultor韆;
PED-4353;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4354;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4355;NIT0000000005;ISS;Servicios P鷅licos;
PED-4356;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4357;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4358;NIT0000000008;IBM;Tecnologia;
PED-4359;NIT0000000009;Oma;Consultor韆;
PED-4360;NIT0000000010;Deloitte;Servicios;
PED-4361;NIT0000000011;Apple;Tecnologia;
PED-4362;NIT0000000012;Intel;Tecnologia;
PED-4363;NIT0000000013;General Mills;Alimentaci髇;
PED-4364;NIT0000000014;Unilever;Alimentaci髇;
PED-4365;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4366;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4367;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4368;NIT0000000018;E.ON;Energ韆;
PED-4369;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4370;NIT0000000020;Iberdrola;Energ韆;
PED-4371;NIT0000000021;Engie;Energ韆;
PED-4372;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4373;NIT0000000023;TCS;Servicios;
PED-4374;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4375;NIT0000000025;PwC;Servicios;
PED-4376;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4377;NIT0000000027;Duke Energy;Energ韆;
PED-4378;NIT0000000028;McKinsey;Servicios;
PED-4379;NIT0000000029;Danone;Alimentaci髇;
PED-4380;NIT0000000030;Facebook;Tecnologia;
PED-4381;NIT0000000031;Microsoft;Tecnologia;
PED-4382;NIT0000000032;Enel;Energ韆;
PED-4383;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4384;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4385;NIT0000000035;Kellogg;Alimentaci髇;
PED-4386;NIT0000000036;Southern Company;Energ韆;
PED-4387;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4388;NIT0000000038;G4S;Servicios P鷅licos;
PED-4389;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4390;NIT0000000040;RWE;Energ韆;
PED-4391;NIT0000000041;Juan Valdez;Consultor韆;
PED-4392;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4393;NIT0000000043;Serco;Servicios P鷅licos;
PED-4394;NIT0000000044;Soluciones IT;Consultor韆;
PED-4395;NIT0000000045;NextEra Energy;Energ韆;
PED-4396;NIT0000000046;Exelon;Energ韆;
PED-4397;NIT0000000047;EDF;Energ韆;
PED-4398;NIT0000000048;Oracle;Tecnologia;
PED-4399;NIT0000000049;Starbucks;Consultor韆;
PED-4400;NIT0000000050;Accenture;Servicios;
PED-4401;NIT0000000051;Mondelez;Alimentaci髇;
PED-4402;NIT0000000052;KPMG;Servicios;
PED-4403;NIT0000000053;Cisco;Tecnologia;
PED-4404;NIT0000000054;Nestle;Alimentaci髇;
PED-4405;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4406;NIT0000000056;Burger King;Consultor韆;
PED-4407;NIT0000000057;KFC;Consultor韆;
PED-4408;NIT0000000058;Capgemini;Servicios;
PED-4409;NIT0000000059;Amazon;Tecnologia;
PED-4410;NIT0000000060;Tostao;Consultor韆;
PED-4411;NIT0000000061;McDonald's;Consultor韆;
PED-4412;NIT0000000062;Bain;Servicios;
PED-4413;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4414;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4415;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4416;NIT0000000066;SAP;Tecnologia;
PED-4417;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4418;NIT0000000068;EY;Servicios;
PED-4419;NIT0000000069;BCG;Servicios;
PED-4420;NIT0000000070;Google;Tecnologia;
PED-4421;NIT0000000001;ABM;Servicios P鷅licos;
PED-4422;NIT0000000002;Subway;Consultor韆;
PED-4423;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4424;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4425;NIT0000000005;ISS;Servicios P鷅licos;
PED-4426;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4427;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4428;NIT0000000008;IBM;Tecnologia;
PED-4429;NIT0000000009;Oma;Consultor韆;
PED-4430;NIT0000000010;Deloitte;Servicios;
PED-4431;NIT0000000011;Apple;Tecnologia;
PED-4432;NIT0000000012;Intel;Tecnologia;
PED-4433;NIT0000000013;General Mills;Alimentaci髇;
PED-4434;NIT0000000014;Unilever;Alimentaci髇;
PED-4435;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4436;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4437;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4438;NIT0000000018;E.ON;Energ韆;
PED-4439;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4440;NIT0000000020;Iberdrola;Energ韆;
PED-4441;NIT0000000021;Engie;Energ韆;
PED-4442;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4443;NIT0000000023;TCS;Servicios;
PED-4444;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4445;NIT0000000025;PwC;Servicios;
PED-4446;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4447;NIT0000000027;Duke Energy;Energ韆;
PED-4448;NIT0000000028;McKinsey;Servicios;
PED-4449;NIT0000000029;Danone;Alimentaci髇;
PED-4450;NIT0000000030;Facebook;Tecnologia;
PED-4451;NIT0000000031;Microsoft;Tecnologia;
PED-4452;NIT0000000032;Enel;Energ韆;
PED-4453;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4454;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4455;NIT0000000035;Kellogg;Alimentaci髇;
PED-4456;NIT0000000036;Southern Company;Energ韆;
PED-4457;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4458;NIT0000000038;G4S;Servicios P鷅licos;
PED-4459;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4460;NIT0000000040;RWE;Energ韆;
PED-4461;NIT0000000041;Juan Valdez;Consultor韆;
PED-4462;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4463;NIT0000000043;Serco;Servicios P鷅licos;
PED-4464;NIT0000000044;Soluciones IT;Consultor韆;
PED-4465;NIT0000000045;NextEra Energy;Energ韆;
PED-4466;NIT0000000046;Exelon;Energ韆;
PED-4467;NIT0000000047;EDF;Energ韆;
PED-4468;NIT0000000048;Oracle;Tecnologia;
PED-4469;NIT0000000049;Starbucks;Consultor韆;
PED-4470;NIT0000000050;Accenture;Servicios;
PED-4471;NIT0000000051;Mondelez;Alimentaci髇;
PED-4472;NIT0000000052;KPMG;Servicios;
PED-4473;NIT0000000053;Cisco;Tecnologia;
PED-4474;NIT0000000054;Nestle;Alimentaci髇;
PED-4475;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
