Fecha de registro;numero_radicado;nit_proveedor;nombre_proveedor;moneda;fecha_factura;numero_factura;pedido;valor_total;estado_factura;categoria;tipo_factura;responsable
1/05/2024;NT00031;NIT0000000020;Iberdrola;COP;4/05/2024;FAC-1;PED-4020;$ 35.000.000;Pendiente;Energía;Fisica;Responsable 1
7/07/2022;NT00032;NIT0000000021;Engie;COP;17/01/2022;FAC-1;PED-4021;$ 22.000.000;Pendiente;Energía;Fisica;Responsable 1
10/08/2022;NT00033;NIT0000000023;TCS;COP;23/07/2023;FAC-1;PED-4023;$ 120.000.000;Pendiente;Servicios;Fisica;Responsable 1
6/01/2023;NT00034;NIT0000000024;PepsiCo;COP;2/11/2022;FAC-1;PED-4024;$ 21.000.000;Pendiente;Alimentación;Fisica;Responsable 1
27/10/2025;NT00035;NIT0000000025;PwC;COP;1/03/2024;FAC-1;PED-4025;$ 28.000.000;Pendiente;Servicios;Fisica;Responsable 1
4/12/2024;NT00036;NIT0000000027;Duke Energy;COP;9/05/2024;FAC-1;PED-4027;$ 21.500.000;Pendiente;Energía;Fisica;Responsable 1
23/06/2025;NT00037;NIT0000000028;McKinsey;COP;30/01/2022;FAC-1;PED-4028;$ 150.000.000;Pendiente;Servicios;Fisica;Responsable 1
9/03/2022;NT00038;NIT0000000029;Danone;COP;3/07/2025;FAC-1;PED-4029;$ 5.800.000;Pendiente;Alimentación;Fisica;Responsable 1
24/03/2022;NT00039;NIT0000000030;Facebook;COP;22/09/2023;FAC-1;PED-4030;$ 5.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
10/07/2025;NT00040;NIT0000000031;Microsoft;COP;6/05/2025;FAC-1;PED-4031;$ 54.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
6/01/2023;NT00041;NIT0000000032;Enel;COP;16/02/2022;FAC-1;PED-4032;$ 20.000.000;Pendiente;Energía;Fisica;Responsable 1
30/11/2022;NT00042;NIT0000000033;Coca-Cola;COP;9/12/2025;FAC-1;PED-4033;$ 18.000.000;Pendiente;Alimentación;Fisica;Responsable 1
30/04/2025;NT00043;NIT0000000035;Kellogg;COP;24/04/2023;FAC-1;PED-4035;$ 6.300.000;Pendiente;Alimentación;Fisica;Responsable 1
4/02/2023;NT00044;NIT0000000036;Southern Company;COP;26/06/2022;FAC-1;PED-4036;$ 19.800.000;Pendiente;Energía;Fisica;Responsable 1
4/07/2025;NT00045;NIT0000000037;Kraft Heinz;COP;14/01/2022;FAC-1;PED-4037;$ 4.500.000;Pendiente;Alimentación;Fisica;Responsable 1
26/10/2022;NT00046;NIT0000000038;G4S;COP;23/04/2022;FAC-1;PED-4038;$ 8.500.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
8/09/2024;NT00047;NIT0000000040;RWE;COP;23/04/2022;FAC-1;PED-4040;$ 19.000.000;Pendiente;Energía;Fisica;Responsable 1
20/03/2024;NT00048;NIT0000000041;Juan Valdez;COP;24/07/2023;FAC-1;PED-4041;$ 8.400.000;Pendiente;Consultoría;Fisica;Responsable 1
18/10/2025;NT00049;NIT0000000042;Compass Group;COP;12/04/2023;FAC-1;PED-4042;$ 10.500.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
23/02/2022;NT00050;NIT0000000043;Serco;COP;25/04/2025;FAC-1;PED-4043;$ 9.000.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
16/11/2022;NT00051;NIT0000000045;NextEra Energy;COP;4/07/2022;FAC-1;PED-4045;$ 23.000.000;Pendiente;Energía;Fisica;Responsable 1
1/04/2024;NT00052;NIT0000000046;Exelon;COP;19/02/2022;FAC-1;PED-4046;$ 18.700.000;Pendiente;Energía;Fisica;Responsable 1
20/05/2023;NT00053;NIT0000000047;EDF;COP;13/01/2024;FAC-1;PED-4047;$ 19.200.000;Pendiente;Energía;Fisica;Responsable 1
21/05/2022;NT00054;NIT0000000048;Oracle;COP;4/04/2022;FAC-1;PED-4048;$ 120.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
11/03/2022;NT00055;NIT0000000049;Starbucks;COP;7/12/2022;FAC-1;PED-4049;$ 11.000.000;Pendiente;Consultoría;Fisica;Responsable 1
15/02/2022;NT00056;NIT0000000050;Accenture;COP;18/04/2023;FAC-1;PED-4050;$ 95.000.000;Pendiente;Servicios;Fisica;Responsable 1
7/01/2022;NT00057;NIT0000000051;Mondelez;COP;16/02/2022;FAC-1;PED-4051;$ 6.900.000;Pendiente;Alimentación;Fisica;Responsable 1
27/04/2022;NT00058;NIT0000000052;KPMG;COP;26/02/2025;FAC-1;PED-4052;$ 30.000.000;Pendiente;Servicios;Fisica;Responsable 1
23/07/2024;NT00059;NIT0000000053;Cisco;COP;31/01/2024;FAC-1;PED-4053;$ 35.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
20/04/2023;NT00060;NIT0000000056;Burger King;COP;24/09/2024;FAC-1;PED-4056;$ 90.000.000;Pendiente;Consultoría;Fisica;Responsable 1
11/03/2022;NT00061;NIT0000000057;KFC;COP;26/12/2022;FAC-1;PED-4057;$ 76.000.000;Pendiente;Consultoría;Fisica;Responsable 1
18/09/2025;NT00062;NIT0000000058;Capgemini;COP;27/06/2023;FAC-1;PED-4058;$ 80.000.000;Pendiente;Servicios;Fisica;Responsable 1
30/01/2023;NT00063;NIT0000000059;Amazon;COP;30/11/2025;FAC-1;PED-4059;$ 22.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
13/02/2022;NT00064;NIT0000000060;Tostao;COP;18/07/2022;FAC-1;PED-4060;$ 7.600.000;Pendiente;Consultoría;Fisica;Responsable 1
15/11/2022;NT00065;NIT0000000061;McDonald's;COP;29/10/2022;FAC-1;PED-4061;$ 120.000.000;Pendiente;Consultoría;Fisica;Responsable 1
16/04/2024;NT00066;NIT0000000062;Bain;COP;30/10/2022;FAC-1;PED-4062;$ 160.000.000;Pendiente;Servicios;Fisica;Responsable 1
9/05/2022;NT00067;NIT0000000063;Procter & Gamble;COP;19/11/2025;FAC-1;PED-4063;$ 7.200.000;Pendiente;Alimentación;Fisica;Responsable 1
12/03/2022;NT00068;NIT0000000064;Securitas;COP;24/03/2023;FAC-1;PED-4064;$ 8.700.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
29/01/2023;NT00069;NIT0000000065;Crepes & Waffles;COP;9/06/2025;FAC-1;PED-4065;$ 15.000.000;Pendiente;Consultoría;Fisica;Responsable 1
14/06/2024;NT00070;NIT0000000066;SAP;COP;8/04/2025;FAC-1;PED-4066;$ 120.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
30/08/2023;NT00071;NIT0000000067;Mitie;COP;8/03/2025;FAC-1;PED-4067;$ 7.500.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
20/02/2024;NT00072;NIT0000000068;EY;COP;6/11/2025;FAC-1;PED-4068;$ 35.000.000;Pendiente;Servicios;Fisica;Responsable 1
14/04/2025;NT00073;NIT0000000069;BCG;COP;15/11/2024;FAC-1;PED-4069;$ 100.000.000;Pendiente;Servicios;Fisica;Responsable 1
9/06/2025;NT00074;NIT0000000070;Google;COP;27/11/2022;FAC-1;PED-4070;$ 15.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
22/06/2024;NT00075;NIT0000000001;ABM;COP;31/08/2023;FAC-2;PED-4071;$ 6.200.000;Pagada;Servicios Públicos;Electronica;Responsable 2
16/11/2024;NT00076;NIT0000000002;Subway;COP;25/11/2022;FAC-2;PED-4072;$ 18.000.000;Pagada;Consultoría;Electronica;Responsable 2
7/01/2024;NT00077;NIT0000000003;Sodexo;COP;20/01/2022;FAC-2;PED-4073;$ 55.000.000;Pagada;Servicios Públicos;Electronica;Responsable 2
17/07/2022;NT00078;NIT0000000005;ISS;COP;29/08/2024;FAC-2;PED-4075;$ 9.800.000;Pagada;Servicios Públicos;Electronica;Responsable 2
13/02/2025;NT00079;NIT0000000006;Rentokil;COP;4/11/2023;FAC-2;PED-4076;$ 1.200.000;Pagada;Servicios Públicos;Electronica;Responsable 2
11/09/2022;NT00080;NIT0000000008;IBM;COP;13/12/2022;FAC-2;PED-4078;$ 75.000.000;Pagada;Tecnologia;Electronica;Responsable 2
10/07/2025;NT00081;NIT0000000009;Oma;COP;26/10/2024;FAC-2;PED-4079;$ 6.400.000;Pagada;Consultoría;Electronica;Responsable 2
23/12/2022;NT00082;NIT0000000010;Deloitte;COP;16/10/2024;FAC-2;PED-4080;$ 40.000.000;Pagada;Servicios;Electronica;Responsable 2
15/02/2023;NT00083;NIT0000000011;Apple;COP;16/05/2025;FAC-2;PED-4081;$ 45.000.000;Pagada;Tecnologia;Electronica;Responsable 2
21/03/2022;NT00084;NIT0000000012;Intel;COP;2/09/2023;FAC-2;PED-4082;$ 32.000.000;Pagada;Tecnologia;Electronica;Responsable 2
15/08/2025;NT00085;NIT0000000013;General Mills;COP;3/12/2025;FAC-2;PED-4083;$ 6.500.000;Pagada;Alimentación;Electronica;Responsable 2
3/12/2023;NT00086;NIT0000000014;Unilever;COP;21/08/2025;FAC-2;PED-4084;$ 8.200.000;Pagada;Alimentación;Electronica;Responsable 2
27/05/2022;NT00087;NIT0000000015;Dunkin Donuts;COP;27/06/2023;FAC-2;PED-4085;$ 70.000.000;Pagada;Consultoría;Electronica;Responsable 2
9/03/2023;NT00088;NIT0000000017;Aramark;COP;31/01/2024;FAC-2;PED-4087;$ 12.000.000;Pagada;Servicios Públicos;Electronica;Responsable 2
13/08/2023;NT00089;NIT0000000018;E.ON;COP;10/07/2024;FAC-2;PED-4088;$ 18.000.000;Pagada;Energía;Electronica;Responsable 2
10/01/2022;NT00090;NIT0000000020;Iberdrola;COP;21/06/2024;FAC-2;PED-4090;$ 17.500.000;Pagada;Energía;Electronica;Responsable 2
26/01/2024;NT00091;NIT0000000021;Engie;COP;31/10/2022;FAC-2;PED-4091;$ 44.000.000;Pagada;Energía;Electronica;Responsable 2
10/02/2024;NT00092;NIT0000000023;TCS;COP;10/02/2025;FAC-2;PED-4093;$ 120.000.000;Pagada;Servicios;Electronica;Responsable 2
30/11/2025;NT00093;NIT0000000024;PepsiCo;COP;20/01/2025;FAC-2;PED-4094;$ 7.000.000;Pagada;Alimentación;Electronica;Responsable 2
27/09/2024;NT00094;NIT0000000025;PwC;COP;27/04/2025;FAC-2;PED-4095;$ 28.000.000;Pagada;Servicios;Electronica;Responsable 2
9/03/2025;NT00095;NIT0000000027;Duke Energy;COP;15/11/2022;FAC-2;PED-4097;$ 43.000.000;Pagada;Energía;Electronica;Responsable 2
8/11/2025;NT00096;NIT0000000028;McKinsey;COP;19/10/2025;FAC-2;PED-4098;$ 150.000.000;Pagada;Servicios;Electronica;Responsable 2
23/03/2023;NT00097;NIT0000000029;Danone;COP;6/11/2024;FAC-2;PED-4099;$ 5.800.000;Pagada;Alimentación;Electronica;Responsable 2
4/04/2024;NT00098;NIT0000000030;Facebook;COP;13/02/2022;FAC-2;PED-4100;$ 5.000.000;Pagada;Tecnologia;Electronica;Responsable 2
24/01/2023;NT00099;NIT0000000031;Microsoft;COP;17/07/2025;FAC-2;PED-4101;$ 54.000.000;Pagada;Tecnologia;Electronica;Responsable 2
19/10/2024;NT00100;NIT0000000032;Enel;COP;5/03/2023;FAC-2;PED-4102;$ 40.000.000;Pagada;Energía;Electronica;Responsable 2
3/05/2025;NT00101;NIT0000000033;Coca-Cola;COP;5/12/2022;FAC-2;PED-4103;$ 9.000.000;Pagada;Alimentación;Electronica;Responsable 2
26/02/2024;NT00102;NIT0000000035;Kellogg;COP;10/06/2024;FAC-2;PED-4105;$ 31.500.000;Pagada;Alimentación;Electronica;Responsable 2
12/12/2023;NT00103;NIT0000000036;Southern Company;COP;8/08/2025;FAC-2;PED-4106;$ 39.600.000;Pagada;Energía;Electronica;Responsable 2
28/03/2024;NT00104;NIT0000000037;Kraft Heinz;COP;10/12/2025;FAC-2;PED-4107;$ 22.500.000;Pagada;Alimentación;Electronica;Responsable 2
10/12/2024;NT00105;NIT0000000038;G4S;COP;14/09/2022;FAC-2;PED-4108;$ 8.500.000;Pagada;Servicios Públicos;Electronica;Responsable 2
26/08/2024;NT00106;NIT0000000040;RWE;COP;2/02/2022;FAC-2;PED-4110;$ 38.000.000;Pagada;Energía;Electronica;Responsable 2
17/06/2023;NT00107;NIT0000000041;Juan Valdez;COP;3/07/2023;FAC-2;PED-4111;$ 8.400.000;Pagada;Consultoría;Electronica;Responsable 2
1/09/2024;NT00108;NIT0000000042;Compass Group;COP;21/07/2024;FAC-2;PED-4112;$ 10.500.000;Pagada;Servicios Públicos;Electronica;Responsable 2
29/08/2024;NT00109;NIT0000000043;Serco;COP;29/10/2022;FAC-2;PED-4113;$ 9.000.000;Pagada;Servicios Públicos;Electronica;Responsable 2
20/12/2023;NT00110;NIT0000000045;NextEra Energy;COP;28/12/2024;FAC-2;PED-4115;$ 46.000.000;Pagada;Energía;Electronica;Responsable 2
26/03/2024;NT00111;NIT0000000046;Exelon;COP;4/07/2025;FAC-2;PED-4116;$ 37.400.000;Pagada;Energía;Electronica;Responsable 2
7/07/2025;NT00112;NIT0000000047;EDF;COP;5/02/2023;FAC-2;PED-4117;$ 38.400.000;Pagada;Energía;Electronica;Responsable 2
3/11/2022;NT00113;NIT0000000048;Oracle;COP;17/04/2025;FAC-2;PED-4118;$ 120.000.000;Pagada;Tecnologia;Electronica;Responsable 2
19/12/2025;NT00114;NIT0000000049;Starbucks;COP;28/12/2024;FAC-2;PED-4119;$ 5.500.000;Pagada;Consultoría;Electronica;Responsable 2
13/02/2024;NT00115;NIT0000000050;Accenture;COP;17/02/2022;FAC-2;PED-4120;$ 95.000.000;Pagada;Servicios;Electronica;Responsable 2
4/07/2024;NT00116;NIT0000000051;Mondelez;COP;15/04/2022;FAC-2;PED-4121;$ 41.400.000;Pagada;Alimentación;Electronica;Responsable 2
1/08/2024;NT00117;NIT0000000052;KPMG;COP;11/06/2025;FAC-2;PED-4122;$ 30.000.000;Pagada;Servicios;Electronica;Responsable 2
18/02/2024;NT00118;NIT0000000053;Cisco;COP;9/01/2025;FAC-2;PED-4123;$ 35.000.000;Pagada;Tecnologia;Electronica;Responsable 2
22/11/2025;NT00119;NIT0000000056;Burger King;COP;12/09/2022;FAC-2;PED-4126;$ 45.000.000;Pagada;Consultoría;Electronica;Responsable 2
22/12/2024;NT00120;NIT0000000057;KFC;COP;31/05/2023;FAC-2;PED-4127;$ 38.000.000;Pagada;Consultoría;Electronica;Responsable 2
8/12/2023;NT00121;NIT0000000058;Capgemini;COP;11/03/2024;FAC-2;PED-4128;$ 80.000.000;Pagada;Servicios;Electronica;Responsable 2
13/04/2025;NT00122;NIT0000000059;Amazon;COP;31/07/2025;FAC-2;PED-4129;$ 22.000.000;Pagada;Tecnologia;Electronica;Responsable 2
5/11/2022;NT00123;NIT0000000060;Tostao;COP;5/02/2024;FAC-2;PED-4130;$ 3.800.000;Pagada;Consultoría;Electronica;Responsable 2
7/08/2023;NT00124;NIT0000000061;McDonald's;COP;26/11/2023;FAC-2;PED-4131;$ 60.000.000;Pagada;Consultoría;Electronica;Responsable 2
29/12/2023;NT00125;NIT0000000062;Bain;COP;24/01/2024;FAC-2;PED-4132;$ 180.000.000;Pagada;Servicios;Electronica;Responsable 2
26/05/2023;NT00126;NIT0000000063;Procter & Gamble;COP;18/02/2022;FAC-2;PED-4133;$ 28.800.000;Pagada;Alimentación;Electronica;Responsable 2
3/10/2022;NT00127;NIT0000000064;Securitas;COP;2/12/2022;FAC-2;PED-4134;$ 8.700.000;Pagada;Servicios Públicos;Electronica;Responsable 2
6/10/2025;NT00128;NIT0000000065;Crepes & Waffles;COP;19/05/2024;FAC-2;PED-4135;$ 7.500.000;Pagada;Consultoría;Electronica;Responsable 2
9/01/2024;NT00129;NIT0000000066;SAP;COP;21/06/2023;FAC-2;PED-4136;$ 120.000.000;Pagada;Tecnologia;Electronica;Responsable 2
12/03/2024;NT00130;NIT0000000067;Mitie;COP;14/11/2024;FAC-2;PED-4137;$ 7.500.000;Pagada;Servicios Públicos;Electronica;Responsable 2
23/01/2025;NT00131;NIT0000000068;EY;COP;3/09/2024;FAC-2;PED-4138;$ 35.000.000;Pagada;Servicios;Electronica;Responsable 2
2/12/2025;NT00132;NIT0000000069;BCG;COP;17/11/2022;FAC-2;PED-4139;$ 100.000.000;Pagada;Servicios;Electronica;Responsable 2
18/06/2025;NT00133;NIT0000000070;Google;COP;4/02/2024;FAC-2;PED-4140;$ 15.000.000;Pagada;Tecnologia;Electronica;Responsable 2
5/04/2025;NT00134;NIT0000000001;ABM;COP;8/02/2023;FAC-3;PED-4141;$ 6.200.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
4/01/2024;NT00135;NIT0000000002;Subway;COP;14/01/2024;FAC-3;PED-4142;$ 9.000.000;Pendiente;Consultoría;Fisica;Responsable 3
4/11/2023;NT00136;NIT0000000003;Sodexo;COP;25/08/2023;FAC-3;PED-4143;$ 44.000.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
20/02/2023;NT00137;NIT0000000005;ISS;COP;8/06/2024;FAC-3;PED-4145;$ 9.800.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
22/08/2025;NT00138;NIT0000000006;Rentokil;COP;15/04/2024;FAC-3;PED-4146;$ 1.200.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
12/04/2025;NT00139;NIT0000000008;IBM;COP;2/01/2024;FAC-3;PED-4148;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
11/11/2024;NT00140;NIT0000000009;Oma;COP;11/03/2025;FAC-3;PED-4149;$ 3.200.000;Pendiente;Consultoría;Fisica;Responsable 3
30/11/2023;NT00141;NIT0000000010;Deloitte;COP;14/12/2022;FAC-3;PED-4150;$ 40.000.000;Pendiente;Servicios;Fisica;Responsable 3
30/05/2024;NT00142;NIT0000000011;Apple;COP;28/08/2022;FAC-3;PED-4151;$ 45.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
23/07/2024;NT00143;NIT0000000012;Intel;COP;20/05/2023;FAC-3;PED-4152;$ 32.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
8/08/2025;NT00144;NIT0000000013;General Mills;COP;17/01/2024;FAC-3;PED-4153;$ 19.500.000;Pendiente;Alimentación;Fisica;Responsable 3
19/10/2022;NT00145;NIT0000000014;Unilever;COP;31/10/2025;FAC-3;PED-4154;$ 24.600.000;Pendiente;Alimentación;Fisica;Responsable 3
25/02/2023;NT00146;NIT0000000015;Dunkin Donuts;COP;23/09/2024;FAC-3;PED-4155;$ 35.000.000;Pendiente;Consultoría;Fisica;Responsable 3
29/01/2024;NT00147;NIT0000000017;Aramark;COP;10/02/2023;FAC-3;PED-4157;$ 12.000.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
6/02/2022;NT00148;NIT0000000018;E.ON;COP;26/05/2024;FAC-3;PED-4158;$ 36.000.000;Pendiente;Energía;Fisica;Responsable 3
30/07/2024;NT00149;NIT0000000020;Iberdrola;COP;6/04/2023;FAC-3;PED-4160;$ 35.000.000;Pendiente;Energía;Fisica;Responsable 3
3/03/2022;NT00150;NIT0000000021;Engie;COP;3/06/2024;FAC-3;PED-4161;$ 22.000.000;Pendiente;Energía;Fisica;Responsable 3
9/11/2024;NT00151;NIT0000000023;TCS;COP;21/04/2023;FAC-3;PED-4163;$ 120.000.000;Pendiente;Servicios;Fisica;Responsable 3
6/04/2024;NT00152;NIT0000000024;PepsiCo;COP;1/06/2025;FAC-3;PED-4164;$ 14.000.000;Pendiente;Alimentación;Fisica;Responsable 3
28/04/2025;NT00153;NIT0000000025;PwC;COP;7/05/2024;FAC-3;PED-4165;$ 28.000.000;Pendiente;Servicios;Fisica;Responsable 3
28/01/2025;NT00154;NIT0000000027;Duke Energy;COP;4/10/2024;FAC-3;PED-4167;$ 21.500.000;Pendiente;Energía;Fisica;Responsable 3
14/04/2024;NT00155;NIT0000000028;McKinsey;COP;16/06/2023;FAC-3;PED-4168;$ 150.000.000;Pendiente;Servicios;Fisica;Responsable 3
9/04/2023;NT00156;NIT0000000029;Danone;COP;14/06/2023;FAC-3;PED-4169;$ 11.600.000;Pendiente;Alimentación;Fisica;Responsable 3
3/03/2025;NT00157;NIT0000000030;Facebook;COP;25/12/2024;FAC-3;PED-4170;$ 5.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
10/03/2023;NT00158;NIT0000000031;Microsoft;COP;18/07/2024;FAC-3;PED-4171;$ 54.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
7/03/2025;NT00159;NIT0000000032;Enel;COP;4/02/2023;FAC-3;PED-4172;$ 20.000.000;Pendiente;Energía;Fisica;Responsable 3
1/05/2023;NT00160;NIT0000000033;Coca-Cola;COP;2/06/2024;FAC-3;PED-4173;$ 18.000.000;Pendiente;Alimentación;Fisica;Responsable 3
18/05/2024;NT00161;NIT0000000035;Kellogg;COP;23/07/2024;FAC-3;PED-4175;$ 12.600.000;Pendiente;Alimentación;Fisica;Responsable 3
23/03/2025;NT00162;NIT0000000036;Southern Company;COP;10/04/2023;FAC-3;PED-4176;$ 19.800.000;Pendiente;Energía;Fisica;Responsable 3
15/04/2024;NT00163;NIT0000000037;Kraft Heinz;COP;12/06/2024;FAC-3;PED-4177;$ 40.500.000;Pendiente;Alimentación;Fisica;Responsable 3
16/09/2023;NT00164;NIT0000000038;G4S;COP;15/12/2024;FAC-3;PED-4178;$ 8.500.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
19/11/2023;NT00165;NIT0000000040;RWE;COP;2/09/2025;FAC-3;PED-4180;$ 19.000.000;Pendiente;Energía;Fisica;Responsable 3
5/12/2024;NT00166;NIT0000000041;Juan Valdez;COP;25/10/2022;FAC-3;PED-4181;$ 4.200.000;Pendiente;Consultoría;Fisica;Responsable 3
18/01/2022;NT00167;NIT0000000042;Compass Group;COP;24/06/2023;FAC-3;PED-4182;$ 10.500.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
21/07/2023;NT00168;NIT0000000043;Serco;COP;23/03/2025;FAC-3;PED-4183;$ 9.000.000;Pendiente;Servicios Públicos;Fisica;Responsable 3
17/12/2024;NT00169;NIT0000000045;NextEra Energy;COP;14/03/2023;FAC-3;PED-4185;$ 23.000.000;Pendiente;Energía;Fisica;Responsable 3
6/11/2025;NT00170;NIT0000000046;Exelon;COP;21/02/2022;FAC-3;PED-4186;$ 18.700.000;Pendiente;Energía;Fisica;Responsable 3
8/11/2025;NT00171;NIT0000000047;EDF;COP;5/12/2025;FAC-3;PED-4187;$ 19.200.000;Pendiente;Energía;Fisica;Responsable 3
26/11/2024;NT00172;NIT0000000049;Starbucks;COP;24/01/2024;FAC-3;PED-4189;$ 5.500.000;Pendiente;Consultoría;Fisica;Responsable 3
10/02/2024;NT00173;NIT0000000050;Accenture;COP;20/09/2023;FAC-3;PED-4190;$ 95.000.000;Pendiente;Servicios;Fisica;Responsable 3
